id_str,name,screen_name,description
957808659890831360,Greg Vitali,Vitali4Congress,Born & raised in DelCo. Progressive Democrat - Good government & environmental warrior known for knocking on doors & speaking truth to power. #ResistTrump!
860884102068568065,BibbleBupski,Runnin4Congress,"Democrat for Congress PA 5, HS Teacher, Football / Wrestling Coach,  #PA05 #PA5 #banassaultweapons #opioidcrisis #coverlongtermcare"
270132611,Lindy Li,lindyli,@joebiden delegate. political contributor. @aacrfoundation trustee. @princeton alumni class president. runner 🏃🏻‍♀️
972828907807395840,Rep. Margo Davidson,Margo4Congress,"State House Representative for Pennsylvania's 164th District, and now seeking to be elected as U.S. Representative for the 5th Congressional District!"
798200305427054592,Molly Sheehan,pennsymolly,"They call me “iconoclast” & “vagina demagogue”. I’m a mom, scientist, policy wonk & activist. #BoldProgressives #OurRevolution #AccountforPa #WeBelieveCara"
852479829198987264,Pearl Kim,PearlKimPA,2018 Congressional Candidate | Special Victims Prosecutor | Every Life Matters | #ImWithKim
343085953,Rich Lazer,RichLazerPHL,Father | Husband | Activist | Deputy Mayor for Labor under @PhillyMayor
955117012736503808,Shelly Chauncey,shelly4congress,"Wife, Mom, and Democratic Candidate for U.S. Congress - #PA05"
2461103872,Theresa Wright,twright8471,2018 Congressional Candidate for PA District 5
1167505378222981128,John Emmons for Congress (Republican) in PA06,Emmons4Congress,Candidate for Congress #PA06 #John4PA #Emmons4Congress #Conservative #Republican #Patriot #Constitution #ProLife #1A #2A #NRA #BackTheBlue #MAGA #KAG #WalkAway
4381665136,Dean Browning,DeanBrowningPA,Former Lehigh County Commissioner. A proud pro-life & pro-2A Christian conservative dedicated to enacting common sense solutions to Keep America Great.
907644291174031360,Greg Edwards for PA,edwardsforpa,"@justicedems & @boldprogressive. https://t.co/p45e1uJsRi Husband. Father. Community Leader. Human & Civil Rights Activist, running in PA-7th. #AllofUsorNoneofUs"
1181643457011617792,Lisa Scheller,SchellerforPA,
600319010,Marty Nothstein,Marty_Nothstein,Olympic Gold Medalist and Chairman of the Lehigh County Board of Commissioners.
466153379,Rick Daugherty,Daugherty2016,I am running for the 15th Congressional District in 2016 to stop trade agreements that send our jobs overseas and to protect programs for senior citizens.
979044237017788416,Roger Ruggles,rugglesforPA7,"Father, Husband, Educator, Member of Easton City Council. Democratic Candidate for the 7th District of Pennsylvannia. In service to the people."
1217891120241311745,Bognet For Congress,Bognet4congress,"Winning back PA-08, Northeastern PA Native,  #PennState Alum, Conservative Fighter, Former President Trump Appointee"
4837282498,JoePeters,JoePetersPA,"Son. Father.  Former Cop, Mafia prosecutor, PA drug prosecutor, senior official at White House Drug Czar's office."
907444771756675073,John Chrin,JohnChrin,"10th generation Pennsylvanian, Candidate for #PA8 (Old #PA17 and #PA10), self-made businessman, former @LehighU alum and business ethics professor."
949327997697392642,Robert J Kuniegel,robertjkuniegel,"A retired, working class American, now running for Congress in the great 17th congressional district of Pennsylvania.   #RJKforPA"
910954346187239425,Gary Wegman for PA-09,DrGaryWegman,5th Generation Farmer. 36-year medical professional. Democratic candidate for U.S. Congress in Pennsylvania's 9th Congressional District. Donate: https://t.co/zsjEBeNIri
973577411647467527,George Halcovage,GeorgeHalcovage,Schuylkill County Commissioner Chairman
4217321290,Laura Quick,electlauraquick,"Running for CD PA-9 in 2020. Mother, union member and supporter, activist, and friend. Always fighting for American workers and to save our democracy!"
3744922102,Scott Uehlinger,thestationchief,"Natl Security Expert, Media Commentator. Retired Naval Officer and CIA Station Chief. USMMA graduate; former Congressional Candidate, loving husband & father."
18831926,Eric Feigl-Ding,DrEricDing,Epidemiologist & Health Economist. Senior Fellow FAS. Fmr faculty & 16 yrs @Harvard. JHopkins & Harvard & Room Rater 10/10 alum. #COVID19 updates since Jan’20.
37820650,Eugene DePasquale,DePasqualePA,"Dad, Auditor General, Attorney, Baseball & Football Coach, fitness addict, fmr mediocre @WoosterEdu athlete, Yogi, ⚾️, Springsteen & @StarWars fan, Democrat"
1141369750821490688,Patriots for Perry,PatriotsPerry,Paid for by Patriots for Perry
935604261433507840,Shavonnia Corbin-Johnson,SCJ4PA,"Political Director @PADems; Frmr: CoS PA Sen, DCoS PA Lt Gov, Congress candidate, @ObamaWhiteHouse & Sen Casey aide. @Georgetown & @GW alum.❤️ travel & people"
875460560015343616,Jess King,jessforcongress,A working mom running for U.S. Congress in PA's 11th District. America is for all of us. #PA11 #JessForPA
975577002764849153,Sarah Hammond,SarahforUs,"She/Her. Progressive Congressional Nominee fighting for our people here in South Central, PA! 🏳️‍🌈🇺🇸 #VOTE 🤜🏽https://t.co/au7JXzrgV1🤛🏿"
40207443,Doug McLinko,DougMclinko,"Personal Account.  Bradford County Commissioner, Former Chairman of Wysox Township Supervisors."
1092471059641700353,Fred Keller,VoteFredKeller,Representing the 12th Congressional District of Pennsylvania. Campaign account.
865952780032323586,Judy Herschel,JudyHerschel,"Candidate for Susquehanna County Commissioner/Advocate for rural America.  MOTHER, WIFE, SISTER, FRIEND- Former Candidate US Congress (PA-12) #bootstrapcampaign"
907204954582024192,Marc Friedenberg,MarcForPA,The movement you need is on your shoulder.
579624328,Korey Young,RepTomMarino,Gaming machine repairer
1255728265,Art Halvorson,ArtHalvorson,"Christ-follower, 42 years Married, 33 year USCG air-sea rescue Pilot, Legion of Merit, Business Owner, 17x Grandfather"
956380574826065921,Benjamin Hornberger,BHornberger2018,Candidate for Pennsylvania Congressional District 13! #MAGA #Deplorable #Trump2020 #AmericaFirst https://t.co/u5NaUf9UiO
329446004,bwashabaugh2,bwashabaugh2,
968935327984443392,Brent Ottaway for Congress,BrentforPA13,Candidate for the new PA 13th Congressional District.
951246976938663937,Eich for Congress,EichForCongress,Father. Husband. #PA State Senator. Conservative Reformer running for #Congress.
52497097,Steve Bloom,StephenLBloom,"Ridiculously blessed, trying to make a positive difference. VP @Liberty4pa. Former PA legislator @RepBloom 2010-2018. #PAPreferred"
1159435823772815360,Todd Rowley🇺🇸🌎,ToddRowleyPA13,"Fighting for justice & equality for every American.

AMERICA UNITED - OUR FUTURE TOGETHER"
